,cgpa,programmingClub,programmingContest,projectShowcasing,seminarWorkshop,researchOpportunities,fundingSupportResearch,studentTeacherRatio,qualityOfTeaching,supportiveTeachersTechnicalSkill,programmingEnvironment,successfulFeelOrNot,specializedLabs,internshipsOrIndustryPlacement,onCampusRecruitment,arrangePeerMentoringPrograms,arrangePeerledWorkshopsOrTutorials,numberOfProjectsOrInitiatives,receiveAwardsScholarships,secureEmploymentOrJobOffers,interestCareerInTheCSEfield,finallyAcademicEnvironmentAndPeerMentoringSupport
78,3.44,Yes,Weekly,Regularly,Monthly,"Yes, Limited.",No,"Yes, the student-teacher ratio is satisfactory.",Good,Supportive: Teachers provide assistance when needed for learning technical skills.,Good,Successful: I feel confident in my CSE skills.,Yes,No,"Yes, but the collaborations are limited in scope.","Yes, frequently","Yes, sometimes",3 or more,No,No,Yes,Good
79,3.495,No,Occasionally,Occasionally,Occasionally,"No, Inadequate.",Yes,"It's adequate, but could be improved.",Good,Supportive: Teachers provide assistance when needed for learning technical skills.,Fair,Neutral: I feel neither confident nor unconfident in my CSE skills.,No,No,"No, our department does not have collaborations with industries",No,"Yes, sometimes",2,No,No,Yes,Fair
80,3.49,Yes,Monthly,Occasionally,Monthly,"Yes, Comprehensive.",Yes,"Yes, the student-teacher ratio is satisfactory.",Good,Neutral: Teachers neither actively help nor hinder my learning of technical skills.,Good,Unsuccessful: I feel not very confident in my CSE skills.,Yes,No,"Yes, our department has strong collaborations with industries.","Yes, frequently","Yes, sometimes",2,No,No,Yes,Good
81,3.45,Yes,Weekly,Regularly,Weekly,"Yes, Comprehensive.",Yes,"Yes, the student-teacher ratio is satisfactory.",Excellent,Very Supportive: Teachers actively help me learn technical skills.,Excellent,Very Successful: I feel very confident in my CSE skills.,Yes,Yes,"Yes, our department has strong collaborations with industries.","Yes, frequently","Yes, frequently",3 or more,No,Yes,Yes,Excellent
82,3.495,Yes,Monthly,Regularly,Weekly,"Yes, Limited.",No,"It's adequate, but could be improved.",Good,Neutral: Teachers neither actively help nor hinder my learning of technical skills.,Fair,Neutral: I feel neither confident nor unconfident in my CSE skills.,Yes,No,"Yes, but the collaborations are limited in scope.",No,"Yes, sometimes",3 or more,No,No,Yes,Fair
83,3.495,Yes,Weekly,Occasionally,Monthly,"Yes, Limited.","Sometimes, if needed","It's adequate, but could be improved.",Good,Supportive: Teachers provide assistance when needed for learning technical skills.,Excellent,Neutral: I feel neither confident nor unconfident in my CSE skills.,Yes,No,"Yes, but the collaborations are limited in scope.","Yes, frequently","Yes, sometimes",3 or more,No,No,Yes,Good
84,3.495,Yes,Occasionally,Occasionally,Occasionally,"Yes, Comprehensive.",Yes,"No, the student-teacher ratio is unsatisfactory.",Average,Supportive: Teachers provide assistance when needed for learning technical skills.,Fair,Very Unsuccessful: I feel very unconfident in my CSE skills.,No,No,"Yes, but the collaborations are limited in scope.",No,"Yes, sometimes",2,No,No,Not sure / No opinion,Fair
85,3.3,No,Rarely,Rarely,Occasionally,"Yes, Limited.",No,"Yes, the student-teacher ratio is satisfactory.",Good,Neutral: Teachers neither actively help nor hinder my learning of technical skills.,Poor,Very Unsuccessful: I feel very unconfident in my CSE skills.,No,Yes,"Yes, but the collaborations are limited in scope.","Yes, sometimes","Yes, sometimes",2,No,No,Yes,Fair
86,3.6,Yes,Monthly,Occasionally,Occasionally,"Yes, Limited.",Yes,"Yes, the student-teacher ratio is satisfactory.",Good,Supportive: Teachers provide assistance when needed for learning technical skills.,Excellent,Successful: I feel confident in my CSE skills.,Yes,No,"Yes, but the collaborations are limited in scope.","Yes, frequently","Yes, sometimes",1,No,No,Yes,Fair
87,3.495,Yes,Monthly,Occasionally,Monthly,"Yes, Comprehensive.",Yes,"Yes, the student-teacher ratio is satisfactory.",Good,Very Supportive: Teachers actively help me learn technical skills.,Good,Neutral: I feel neither confident nor unconfident in my CSE skills.,Yes,No,"No, our department does not have collaborations with industries","Yes, sometimes","Yes, sometimes",3 or more,No,No,Yes,Fair
88,3.64,Yes,Occasionally,Occasionally,Rarely,"Yes, Limited.","Sometimes, if needed","It's adequate, but could be improved.",Good,Neutral: Teachers neither actively help nor hinder my learning of technical skills.,Fair,Neutral: I feel neither confident nor unconfident in my CSE skills.,No,No,"Yes, but the collaborations are limited in scope.","Yes, sometimes","Yes, frequently",2,No,No,Not sure / No opinion,Fair
